
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.4)
2023-11-22T15:24:55.498Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@7882c44a
2023-11-22T15:24:55.498Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration short -> org.hibernate.type.BasicTypeReference@7882c44a
2023-11-22T15:24:55.502Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Short -> org.hibernate.type.BasicTypeReference@7882c44a
2023-11-22T15:24:55.504Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration integer -> org.hibernate.type.BasicTypeReference@32639b12
2023-11-22T15:24:55.504Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration int -> org.hibernate.type.BasicTypeReference@32639b12
2023-11-22T15:24:55.504Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Integer -> org.hibernate.type.BasicTypeReference@32639b12
2023-11-22T15:24:55.504Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@20d11153
2023-11-22T15:24:55.504Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration long -> org.hibernate.type.BasicTypeReference@20d11153
2023-11-22T15:24:55.505Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Long -> org.hibernate.type.BasicTypeReference@20d11153
2023-11-22T15:24:55.505Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@3887cf88
2023-11-22T15:24:55.505Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration float -> org.hibernate.type.BasicTypeReference@3887cf88
2023-11-22T15:24:55.505Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Float -> org.hibernate.type.BasicTypeReference@3887cf88
2023-11-22T15:24:55.506Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@5649ec46
2023-11-22T15:24:55.506Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration double -> org.hibernate.type.BasicTypeReference@5649ec46
2023-11-22T15:24:55.507Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Double -> org.hibernate.type.BasicTypeReference@5649ec46
2023-11-22T15:24:55.508Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_integer -> org.hibernate.type.BasicTypeReference@78dc4696
2023-11-22T15:24:55.508Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigInteger -> org.hibernate.type.BasicTypeReference@78dc4696
2023-11-22T15:24:55.508Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration big_decimal -> org.hibernate.type.BasicTypeReference@502f8b57
2023-11-22T15:24:55.508Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.math.BigDecimal -> org.hibernate.type.BasicTypeReference@502f8b57
2023-11-22T15:24:55.510Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration character -> org.hibernate.type.BasicTypeReference@5652f555
2023-11-22T15:24:55.510Z DEBUG 2337 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration char -> org.hibernate.type.BasicTypeReference@5652f555
